symbol
RELIANCE
HDFCBANK
ICICIBANK
INFY
TCS
ITC
BHARTIARTL
SBIN
LICI
HINDUNILVR
LT
BAJFINANCE
HCLTECH
MARUTI
M&M
SUNPHARMA
KOTAKBANK
AXISBANK
NTPC
TITAN
ONGC
ADANIENT
ADANIPORTS
POWERGRID
ULTRACEMCO
NESTLEIND
COALINDIA
BAJAJFINSV
JSWSTEEL
TATAMOTORS
WIPRO
TATASTEEL
ASIANPAINT
TECHM
BEL
TRENT
HINDALCO
GRASIM
EICHERMOT
CIPLA
SHRIRAMFIN
DRREDDY
APOLLOHOSP
HEROMOTOCO
INDUSINDBK
BPCL
BRITANNIA
BAJAJ-AUTO
TATACONSUM
ETERNAL
